"QC","Study.ID","Reference","Collector","coral","plant","algae","fish","inverts","mobile.inverts","sessile.inverts","marine.mammals","phytoplankton","zooplankton","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Lat","Long","Loc","Event.","Event.type","A.priori.","Year.of.Event","Notes","Vis","Trwl","Line","Drdg","Trp","Source","Site","SiSz","SiSz..units.","PltSz","PltSz..units.","Expected.Change.Direction","Event.Notes","Year","SiteSize","SiteSizeUnits","PlotSize","PlotSizeUnits","Taxa","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","Event.type.2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Duration","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","rich_ROM_uw","rich_ROM_w","shan_ROM_uw","shan_ROM_w","rich_SMD_uw","rich_SMD_w","shan_SMD_uw","shan_SMD_w"
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","ME",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Coral",5,NA,5515,NA,NA,NA,1998,NA,30,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"4147",NA,NA,NA,2006,NA,70,NA,NA,2.74,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,8,40,NA,NA,NA,0.847297860387204,NA,NA,NA,1.13,NA,NA,NA,0.531723741403607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","EE",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Coral",5,NA,432,NA,NA,NA,1998,NA,19,NA,NA,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"560",NA,NA,NA,2006,NA,46,NA,NA,3.22,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,8,27,NA,NA,NA,0.884202417322654,NA,NA,NA,0.74,NA,NA,NA,0.261122799379426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","PSM",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Coral",5,NA,224,NA,NA,NA,1998,NA,6,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"828",NA,NA,NA,2006,NA,22,NA,NA,1.99,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,8,16,NA,NA,NA,1.29928298413026,NA,NA,NA,0.56,NA,NA,NA,0.330460194464585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","PMS",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Coral",5,NA,4716,NA,NA,NA,1998,NA,14,NA,NA,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"2180",NA,NA,NA,2006,NA,28,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,8,14,NA,NA,NA,0.693147180559945,NA,NA,NA,1.69,NA,NA,NA,0.787812407101024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","PS",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Coral",5,NA,143,NA,NA,NA,1998,NA,8,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"579",NA,NA,NA,2006,NA,21,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,8,13,NA,NA,NA,0.965080896043587,NA,NA,NA,1.01,NA,NA,NA,0.592221261969985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","SA",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Coral",5,NA,4940,NA,NA,NA,1998,NA,14,NA,NA,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"3008",NA,NA,NA,2006,NA,39,NA,NA,2.73,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,8,25,NA,NA,NA,1.02450431651439,NA,NA,NA,1.32,NA,NA,NA,0.660711904806791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,441,"Pranovi et al 2008","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"all benthic invertebrates","estuarine mudflat",43.4375,12.335,"Venice, Italy","Yes","Multiple events, natural and artificial",NA,NA,NA,0,0,0,1,0,"Fig 3,5","Southern",NA,NA,1,"m^2","Negative","",NA,NA,NA,1,"m^2","Coral",22,NA,NA,NA,NA,NA,1935,NA,33.80597015,1.71641791,"SE",2.630970149,0.075,"SE",NA,NA,NA,NA,NA,NA,8.05071361550719,0.351781181986757,NA,NA,30,NA,NA,NA,NA,NA,1999,NA,10.52238806,0.820895522,"SE",1.720298507,0.11,"SE",NA,NA,NA,NA,NA,NA,"Multiple",4.49622994754378,0.602494813255683,NA,NA,64,-23.28358209,3.61995989980842,-3.67459140601602,0.208620782645251,-1.16713223509857,0.00866407260512835,-3.51702876040079,0.264013682931072,-0.910671642,0.017725,-1.75058077410254,0.108254542698046,-0.424854829769101,0.00490125533157271,-1.81811451546477,0.109061856687328,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,441,"Pranovi et al 2008","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"all benthic invertebrates","estuarine mudflat",43.4375,12.335,"Venice, Italy","Yes","Multiple events, natural and artificial",NA,NA,NA,0,0,0,1,0,"Fig 3,5","Nothern",NA,NA,1,"m^2","Negative","",NA,NA,NA,1,"m^2","Coral",44,NA,NA,NA,NA,NA,1935,NA,30.29850746,1.044776119,"SE",1.977238806,0.07,"SE",NA,NA,NA,NA,NA,NA,6.93026075329341,0.464327470649756,NA,NA,55,NA,NA,NA,NA,NA,2004,NA,12.01492537,0.671641791,"SE",1.839925373,0.055,"SE",NA,NA,NA,NA,NA,NA,"Multiple",4.98102883428442,0.407890916790261,NA,NA,69,-18.28358209,1.54265983425039,-3.06201503428195,0.0882623033846903,-0.924948794789469,0.00431394008397964,-3.00616356678772,0.0971553917201758,-0.137313433,0.007925,-0.314069796783859,0.0414072719053124,-0.0719763163567406,0.00214692832462227,-0.31176642848499,0.042252574527318,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,441,"Pranovi et al 2008","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"all benthic invertebrates","estuarine mudflat",43.4375,12.335,"Venice, Italy","Yes","Multiple events, natural and artificial",NA,NA,NA,0,0,0,1,0,"Fig 3,5","Central",NA,NA,1,"m^2","Negative","",NA,NA,NA,1,"m^2","Coral",20,NA,NA,NA,NA,NA,1935,NA,34.7761194,1.268656716,"SE",2.246567164,0.12,"SE",NA,NA,NA,NA,NA,NA,5.67360531417529,0.53665631459995,NA,NA,10,NA,NA,NA,NA,NA,2001,NA,17.1641791,0.820895522,"SE",17.1641791,0.820895522,"SE",NA,NA,NA,NA,NA,NA,"Multiple",2.59589957055286,2.59589957055286,NA,NA,66,-17.6119403,2.28335932109156,-3.49705073373395,0.353822730571819,-0.706106325377483,0.00361817509371439,-3.88392604846095,0.399513745951371,14.917611936,0.688269458039653,9.44481841249483,1.63674324741669,2.03342125545091,0.00514047850680701,7.74321474140031,3.10823650831392,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,150,"Hernandez-Miranda et al. 2012","TI",0,0,0,1,1,0,0,0,0,0,5,"mm","fish","rocky intertidal",-36.756944,-73.1975,"Coliumo Bay, Chile","Yes","hypoxic disturbance",NA,NA,NA,0,1,0,0,0,"Fig 2","Coliumo Bay, Chile",NA,NA,113.4,"m^2","Negative","",NA,NA,NA,113.4,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2007,"1",21.48148148,0.185185185,"SE",1.529358951,0.024061771,"SE",NA,NA,NA,NA,NA,NA,0.185185185,0.024061771,NA,NA,1,NA,NA,NA,NA,NA,2010,"1",18.24074074,0.37037037,"SE",0.817381936,0.046866583,"SE",NA,NA,NA,NA,NA,NA,"Hypoxia",0.37037037,0.046866583,NA,NA,3,-3.24074074,0.171467763717421,NA,NA,-0.163533642899965,0.000486591792306298,NA,NA,-0.711977015,0.00277544542575233,NA,NA,-0.626497468766083,0.00353511619682431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0
NA,53,"Kelmo et al. 2013","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"Foraminefera","coral reef",-12.6,-38,"Brazil","Yes","El Nino in 97-8 but no change in any other year",NA,NA,"Foraminefera",0,0,0,1,0,"Fig 2a ","Northern Bahia",900,"m^2",50,"cm^3","Uncertain","Could be either depending on when samples taken",NA,900,"m^2",5e-05,"m^3","Coral",40,NA,NA,NA,NA,NA,1995,"4",18.28571429,1.428571429,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03507903176304,NA,NA,NA,40,NA,NA,NA,NA,NA,2011,"4",6.514285714,1.6,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Nino",10.1192885125388,NA,NA,NA,16,-11.771428576,4.6008163277551,-1.215303587581,0.0592310175624204,-1.03212254767751,0.0664297698631643,-1.215303587581,0.0597010173242201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 0 m; June",1,0,0,0,0,"Figure 6","0 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",6,NA,NA,NA,NA,NA,2009,"1",0.67,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"1",0.94,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,0.27,NA,NA,NA,0.338602162879038,NA,NA,NA,-0.16,NA,NA,NA,-0.200670695462151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 5 m; June",1,0,0,0,0,"Figure 6","5 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",6,NA,NA,NA,NA,NA,2009,"1",0.92,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"1",0.98,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,0.0599999999999999,NA,NA,NA,0.0631789016215315,NA,NA,NA,-0.05,NA,NA,NA,-0.0565122102633423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 10 m; June",1,0,0,0,0,"Figure 6","10 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",6,NA,NA,NA,NA,NA,2009,"1",0.43,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"1",0.97,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,0.54,NA,NA,NA,0.81351086280982,NA,NA,NA,-0.07,NA,NA,NA,-0.083881483980702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 15 m; June",1,0,0,0,0,"Figure 6","15 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",6,NA,NA,NA,NA,NA,2009,"1",0.8,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"1",1.1,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,0.3,NA,NA,NA,0.318453731118535,NA,NA,NA,-0.02,NA,NA,NA,-0.0250013022054173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 20 m; June",1,0,0,0,0,"Figure 6","20 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",6,NA,NA,NA,NA,NA,2009,"1",0.56,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"1",1.2,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,0.64,NA,NA,NA,0.762140052046897,NA,NA,NA,0.09,NA,NA,NA,0.111917916203985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,1,0,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2011; 5 m; June",1,0,0,0,0,"Figure 6","5 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Fish",6,NA,NA,NA,NA,NA,2009,"6",0.95,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2010,"6",0.48,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,1,-0.47,NA,NA,NA,-0.68267588069265,NA,NA,NA,-0.18,NA,NA,NA,-0.297251523467932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,1,0,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2011; 10 m; June",1,0,0,0,0,"Figure 6","10 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Fish",6,NA,NA,NA,NA,NA,2009,"6",0.69,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2010,"6",1.2,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,1,0.51,NA,NA,NA,0.553385238184787,NA,NA,NA,0.0499999999999999,NA,NA,NA,0.0606246218164348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,1,0,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2011; 15 m; June",1,0,0,0,0,"Figure 6","15 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Fish",6,NA,NA,NA,NA,NA,2009,"6",1.2,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2010,"6",1,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,1,-0.2,NA,NA,NA,-0.182321556793955,NA,NA,NA,0.01,NA,NA,NA,0.0118344576470028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 0 m; July",1,0,0,0,0,"Figure 6","0 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",6,NA,NA,NA,NA,NA,2009,"8",1.08,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"8",1.3,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,0.22,NA,NA,NA,0.185403223331363,NA,NA,NA,0.05,NA,NA,NA,0.0645385211375712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 5 m; July",1,0,0,0,0,"Figure 6","5 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",6,NA,NA,NA,NA,NA,2009,"8",1.44,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"8",1.3,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,-0.14,NA,NA,NA,-0.102278849120418,NA,NA,NA,0.1,NA,NA,NA,0.117783035656383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 10 m; July",1,0,0,0,0,"Figure 6","10 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",6,NA,NA,NA,NA,NA,2009,"8",1.46,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"8",1.23,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,-0.23,NA,NA,NA,-0.171422266335919,NA,NA,NA,0.0900000000000001,NA,NA,NA,0.102947969252442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 15 m; July",1,0,0,0,0,"Figure 6","15 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",6,NA,NA,NA,NA,NA,2009,"8",1.39,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"8",1.24,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,-0.15,NA,NA,NA,-0.114192367525655,NA,NA,NA,0.0900000000000001,NA,NA,NA,0.102947969252442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 20 m; July",1,0,0,0,0,"Figure 6","20 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",6,NA,NA,NA,NA,NA,2009,"8",1.6,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,"8",1.2,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,2,-0.4,NA,NA,NA,-0.287682072451781,NA,NA,NA,-0.1,NA,NA,NA,-0.117783035656383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
NA,327,"Dupont, et al.2010","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"small reef fish","rocky subtidal",27.63,-83,"Florida","Yes","Red Tide","Yes",NA,"LB; Spring 2005-2006",1,0,0,0,0,"Figure 5","LB",2,"km^2",1570,"m^3","Negative","",NA,2e+06,"m^2",1570,"m^3","Plants",10,NA,NA,NA,NA,NA,2005,"4",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2006,"1",24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB",NA,NA,NA,NA,1,-19.1,NA,NA,NA,-0.569321830447599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0
NA,327,"Dupont, et al.2010","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"small reef fish","rocky subtidal",27.63,-83,"Florida","Yes","Red Tide","Yes",NA,"RM; Spring 2005-2006",1,0,0,0,0,"Figure 5","RM",2,"km^2",1570,"m^3","Negative","",NA,2e+06,"m^2",1570,"m^3","Plants",10,NA,NA,NA,NA,NA,2005,"4",30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2006,"1",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB",NA,NA,NA,NA,1,-11.9,NA,NA,NA,-0.486317204737259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0
