-,Completed?,Study Used?,Study ID,Author.Year,Filtered,Database,Authors,Title,Reason Rejected
Pat,Yes,No,521,,Marc,ISI,"Garcia, Alexandre M.; Bemvenuti, Marlise A.; Vieira, Joao P.; Marques, David M. L. Motta; Burns, Marcelo D. M.; Moresco, Alex; Condini, Mario Vinicius L.","Checklist comparison and dominance patterns of the fish fauna at Taim Wetland, South Brazil",Just a species list
Pat,Yes,No,522,,Marc,ISI,"Bailey, DM; Ruhl, HA; Smith, KL",Long-term change in benthopelagic fish abundance in the abyssal northeast Pacific Ocean,Does not have the data needed
Pat,Yes,No,526,,Marc,ISI,"Thornhill, DJ; LaJeunesse, TC; Kemp, DW; Fitt, WK; Schmidt, GW","Multi-year, seasonal genotypic surveys of coral-algal symbioses reveal prevalent stability or post-bleaching reversion",This is a genetics paper
Pat,Yes,No,530,,Marc,ISI,"Auth, Toby D.; Brodeur, Richard D.","Distribution and community structure of ichthyoplankton off the coast of Oregon, USA, in 2000 and 2002","Only looks at beta diversity, does not ID the organisms to Sp level"
Pat,Yes,No,531,,Marc,ISI,"Williams, I. D.; Walsh, W. J.; Miyasaka, A.; Friedlander, A. M.","Effects of rotational closure on coral reef fishes in Waikiki-Diamond Head Fishery Management Area, Oahu, Hawaii",Only look at biomass
Pat,Yes,No,555,,Patrick,ISI,"Perus, J; Bonsdorff, E","Long-term changes in macrozoobenthos in the Aland archipelago, northern Baltic Sea",Changes sampling method 3x
Pat,Yes,No,570,,Patrick,ISI,"Rueda, JL; Salas, C",Temporal dynamics of molluscan assemblages from soft and bioclastic bottoms in the Strait of Gibraltar,Can't get and in French
Pat,Yes,Yes,584,,Patrick,ISI,"Raso, JEG; Manjon-Cabeza, ME",An infralittoral decapod crustacean community of Southern Spain affected by anthropogenic disturbances,
Pat,Yes,No,590,,Patrick,ISI,"Solana-Sansores, R","Spatial patterns of the epipelagic species caught incidentally in the tuna fishery on floating objects, in the eastern Pacific Ocean","No temporal component, sampled different sites
"
Pat,Yes,No,622,,Tenzing,ISI,"Phillips, JA; Conacher, C; Horrocks, J","Marine macroalgae from the Gulf of Carpentaria, tropical northern Australia",Never sampled the same site twice...can't really compare diversity over time
Pat,Yes,No,632,,Tenzing,ISI,"Debrot, AO; Kuenen, MMCE; Dekker, K","Recent declines in the coral fauna of the Spaanse Water, Curacao, Netherlands Antilles","Only looked at areal cover, not diversity of coral"
Pat,Yes,No,639,,Jarrett,ISI,"Pearson, TH; Mannvik, HP",Long-term changes in the diversity and faunal structure of benthic communities in the northern North Sea: natural variability or induced instability?,"Just looked at beta diversity, no richness"
Pat,Yes,No,640,,Tenzing,ISI,"Padisak, J; Krienitz, L; Scheffler, W; Koschel, R; Kristiansen, J; Grigorszky, I",Phytoplankton succession in the oligotrophic Lake Stechlin (Germany) in 1994 and 1995,Microbes
Jillian,Yes,No,645,,Tenzing,ISI,"Leslie, AJ; Crisman, TL; Prenger, JP; Ewel, KC",Benthic macroinvertebrates of small Florida pondcypress swamps and the influence of dry periods,Not marine
Jillian,Yes,Yes,663,,Tenzing,ISI,"TAPP, JF; SHILLABEER, N; ASHMAN, CM","CONTINUED OBSERVATIONS OF THE BENTHIC FAUNA OF THE INDUSTRIALIZED TEES ESTUARY, 1979-1990",
Jillian,Yes,No,666,,Tenzing,ISI,"DELEEUW, J; APON, LP; HERMAN, PMJ; DEMUNCK, W; BEEFTINK, WG",VEGETATION RESPONSE TO EXPERIMENTAL AND NATURAL DISTURBANCE IN 2 SALT-MARSH PLANT-COMMUNITIES IN THE SOUTHWEST NETHERLANDS,No species richness or shannon given. Include less abundant species as 'other' so we can't figure it out.
Jillian,Yes,No,667,,Jarrett,ISI,"HENDERSON, PA; JAMES, D; HOLMES, RHA",TROPHIC STRUCTURE WITHIN THE BRISTOL CHANNEL - SEASONALITY AND STABILITY IN BRIDGWATER BAY,"No species richness data. Though it seems like this data should be somewhere, potentially in a different, later paper"
Jillian,Yes,No,680,,Jarrett,ISI,"DIAZCASTANEDA, V; SAFRAN, P; BELLAN, G; LEPRETRE, A",ASSOCIATION OF 2 COMPLEMENTARY MATHEMATICAL-METHODS - CORRESPONDENCE-ANALYSIS AND RANK-FREQUENCY DIAGRAMS IN THE STUDY OF THE ORGANIZATION AND STRUCTURE OF BENTHIC MEDITERRANEAN POPULATIONS,Started with defaunated substrates (biased effect size). SppR1 = 0
Jillian,Yes,No,690,,Aaron,Aquatic Commons,"Auth, T., Brodeur, R. and Fisher, K.",Diel variation in vertical distribution of an offshore ichthyoplankton community off the Oregon coast.,No breakdown by year. This data should exist somewhere though. Contact author.
Jillian,Yes,No,699,,Aaron,Aquatic Commons,"Carlson, J. and Brusher, J.",An Index of Abundance for Coastal Species of Juvenile Sharks from the Northeast Gulf of Mexico.,Not all species caught were included in the analysis. Only those that were consistently caught were included.
Jillian,Yes,Yes,714,,Aaron,Aquatic Commons,"Hudson, J., Anderson, J., Franklin, E., Schittone, J. and Stratton, A.","M/V WELLWOOD Coral Reef Restoration Monitoring Report, Monitoring Events 2004ÌÄåâÌâå_2006. Florida Keys National Marine Sanctuary Monroe County, Florida.",
Jillian,Yes,No,716,,Aaron,Aquatic Commons,"Jeffrey, C., Pattengill-Semmens, C., Gittings, S. and Monaco, M.",Distribution and sighting frequency of reef fishes in the Florida Keys National Marine Sanctuary.,No yearly break down. Also not found on the REEF website.
Jillian,Yes,No,48,Belchier and Lawson 2013,Alexa,ISI,"Belchier, Mark; Lawson, Jennifer","An analysis of temporal variability in abundance, diversity and growth rates within the coastal ichthyoplankton assemblage of South Georgia (sub-Antarctic)",No raw data for richness. Only MDS analyses. Email authors
Jillian,Yes,No,89,Sogawa et al. 2013,Alexa,ISI,"Sogawa, Sayaka; Sugisaki, Hiroya; Saito, Hiroaki; Okazaki, Yuji; Shimode, Shinji; Kikuchi, Tomohiko",Congruence between euphausiid community and water region in the northwestern Pacific: particularly in the Oyashio-Kuroshio Mixed Water Region,No richness breakdowns by year. Could contact authors
Jillian,Yes,No,121,Vargas-Zamora et al. 2012,Alexa,ISI,"Vargas-Zamora, Jose A.; Sibaja-Cordero, Jeffrey A.; Vargas-Castillo, Rita","Crustaceans from a tropical estuarine sand-mud flat, Pacific, Costa Rica, (1984-1988) revisited",No species richness/shannon at taxonomic resolution below broad groups
Jillian,Yes,No,125,Masi et al. 2012,Alexa,ISI,"Masi, B. P.; Zalmon, I. R.","Intra-annual variation of intertidal benthic community in a breakwater zone on the north coast of Rio de Janeiro, Brazil",Sampling period < 1 year
Jillian,Yes,No,137,Bellwood et al. 2012,Alexa,ISI,"Bellwood, David R.; Baird, Andrew H.; Depczynski, Martial; Gonzalez-Cabello, Alonso; Hoey, Andrew S.; Lefevre, Carine D.; Tanner, Jennifer K.",Coral recovery may not herald the return of fishes on damaged coral reefs,No useable richness data (MDS analyses). Do not see anything indicating public data or published data in repository or supplement.
Jillian,Yes,No,138,Magurran et al. 2012,Alexa,ISI,"Magurran, Anne E.; Henderson, Peter A.",How selection structures species abundance distributions,No richness data.
Jillian,Yes,No,145,Kim et al. 2012,Alexa,ISI,"Kim, Suam; Kang, Sukyung; Zhang, Chang-Ik; Seo, Hyunju; Kang, Minho; Kim, Jung J.",Comparison of fisheries yield and oceanographic features at the southern boundaries of the western and eastern Subarctic Pacific Ocean,Inconsistent sampling methods over time (use fisheries data)
Jillian,Yes,Yes,154,Sun et al. 2012,Alexa,ISI,Sun Song; Li Yinghong; Sun Xiaoxia,"Changes in the small-jellyfish community in recent decades in Jiaozhou Bay, China",
Jillian,Yes,No,161,Du et al. 2012,Alexa,ISI,"Du, Yongfen; Xu, Kuidong; Warren, Alan; Lei, Yanli; Dai, Renhai",Benthic ciliate and meiofaunal communities in two contrasting habitats of an intertidal estuarine wetland,< 1 year
Jillian,Yes,No,167,Skriptsova et al. 2012,Alexa,ISI,"Skriptsova, Anna V.; Levenets, Irina R.","Seasonal dynamics of subtidal macrophyte assemblages in Sobol Bay (Peter the Great Bay, Sea of Japan) in relation to depth",No yearly breakdown of richness data
Jillian,Yes,No,187,,Daniel,ISI,"Grizzetti, Bruna; Bouraoui, Faycal; Aloe, Alberto",Changes of nitrogen and phosphorus loads to European seas,No resampling and consistent sampling of richness data
Jillian,Yes,No,188,,Daniel,ISI,"Leal, Miguel Costa; Puga, Joao; Serodio, Joao; Gomes, Newton C. M.; Calado, Ricardo",Trends in the Discovery of New Marine Natural Products from Invertebrates over the Last Two Decades - Where and What Are We Bioprospecting?,No richness data. Single species paper
Jillian,Yes,Yes,193,,Daniel,ISI,"Burrows, Julia A.; Harvey, James T.; Newton, Kelly M.; Croll, Donald A.; Benson, Scott R.","Marine mammal response to interannual variability in Monterey Bay, California",
Jillian,Yes,No,197,,Daniel,ISI,"Bolton, J. J.; Anderson, R. J.; Smit, A. J.; Rothman, M. D.",South African kelp moving eastwards: the discovery of Ecklonia maxima (Osbeck) Papenfuss at De Hoop Nature Reserve on the south coast of South Africa,No richness data. Single species study.
Jillian,Yes,No,200,,Daniel,ISI,"Shackell, Nancy L.; Fisher, Jonathan A. D.; Frank, Kenneth T.; Lawton, Peter",Spatial scale of similarity as an indicator of metacommunity stability in exploited marine systems,No richness data. Though worth looking at the US NMFS froundfish bottom trawl data. and Canadian DFO groundfish bottom trawl data.
Jillian,Yes,No,201,,Daniel,ISI,"Schlueter, Merja H.; Kraberg, Alexandra; Wiltshire, Karen H.",Long-term changes in the seasonality of selected diatoms related to grazers and environmental conditions,Only measures 3 most abundant diatom species.
Jillian,Yes,Yes,208,,Daniel,ISI,"Hussin, W. M. Rauhan Wan; Cooper, Keith M.; Frojan, Christopher R. S. Barrio; Defew, Emma C.; Paterson, David M.",Impacts of physical disturbance on the recovery of a macrofaunal community: A comparative analysis using traditional and novel approaches,
Jillian,Yes,No,231,,Daniel,ISI,"Wagner, Carola; Adrian, Rita",Consequences of changes in thermal regime for plankton diversity and trait composition in a polymictic lake: a matter of temporal scale,Not marine
Jillian,Yes,No,245,,Daniel,ISI,"Angel Peralta-Meixueiro, Miguel; Eugenia Vega-Cendejas, Maria","Spatial and temporal structure of fish assemblages in a hyperhaline coastal system: Ria Lagartos, Mexico",No yearly breakdown of species richness
Jillian,Yes,No,251,,Daniel,ISI,"Hamilton, R. J.; Potuku, T.; Montambault, J. R.",Community-based conservation results in the recovery of reef fish spawning aggregations in the Coral Triangle,Only 3 focal species of reef fish
Jillian,Yes,No,253,,Daniel,ISI,"Yang, Guang; Li, Chaolun; Sun, Song","Inter-annual variation in summer zooplankton community structure in Prydz Bay, Antarctica, from 1999 to 2006",Exclude the rare species <2%
Jillian,Yes,No,271,,Daniel,ISI,"Serrano, L. G.; Cardell, M. J.; Lozoya, J. P.; Sarda, R.","A polychaete-dominated community in the NW Mediterranean Sea, 20 years after cessation of sewage discharges",Inconsistent sampling methods :(
Jillian,Yes,No,281,,Daniel,ISI,"Rensel, J. E. Jack; Haigh, Nicola; Tynan, Tim J.",Fraser river sockeye salmon marine survival decline and harmful blooms of Heterosigrna akashiwo,No species richness
Jillian,Yes,No,288,,Daniel,ISI,"Wang, Xue-hui; Du, Fi-yan; Qiu, Yong-song; Li, Chun-hou; Sun, Dian-rong; Jia, Xiao-ping","[Variations of fish species diversity, faunal assemblage, and abundances in Daya Bay in 1980-2007].",No sampling methods given. A document that they do reference is in Chinese. Did not verify what was in it.
Jillian,Yes,No,335,,Jillian,ISI,"Rhyne, Andrew; Rotjan, Randi; Bruckner, Andrew; Tlusty, Michael",Crawling to Collapse: Ecologically Unsound Ornamental Invertebrate Fisheries,Methods not consistent across years.
Jillian,,,351,,Jillian,ISI,"Doustshenas, B; Savari, A; Nabavi, S M B; Kochanian, P; Sadrinasab, M",Applying Benthic Index of Biotic Integrity in a soft bottom ecosystem in North of the Persian Gulf.,
Jillian,Yes,Yes,355,,Jillian,ISI,"Borja, Angel; Muxika, Inigo; German Rodriguez, Jose","Paradigmatic responses of marine benthic communities to different anthropogenic pressures, using M-AMBI, within the European Water Framework Directive",
Jillian,Yes,No,367,,Jillian,ISI,"Oakes, Christopher T.; Pondella, Daniel J., II",The Value of a Net-Cage as a Fish Aggregating Device in Southern California,Values averaged only over a single year. No annual resampling.
Jillian,Yes,No,371,,Jillian,ISI,"Storz, David; Schulz, Hartmut; Waniek, Joanna J.; Schulz-Bull, Detlef E.; Kucera, Michal",Seasonal and interannual variability of the planktic foraminiferal flux in the vicinity of the Azores Current,Inconsistent sampling (different lengths of sampling time)
Jillian,Yes,No,381,,Jillian,ISI,"Gascon, S.; Boix, D.; Sala, J.; Quintana, X. D.",Patterns in size and species diversity of benthic macroinvertebrates in Mediterranean salt marshes,Sampling periods different lengths between years.
Jillian,Yes,No,383,,Jillian,ISI,"Auster, P. J.; Link, J. S.",Compensation and recovery of feeding guilds in a northwest Atlantic shelf fish community,No species richness data.
Jillian,Yes,No,387,,Jillian,ISI,"Gannon, Damon P.; McCabe, Elizabeth J. Berens; Camilleri, Sandra A.; Gannon, Janet G.; Brueggen, Mary K.; Barleycorn, Aaron A.; Palubok, Valeriy I.; Kirkpatrick, Gary J.; Wells, Randall S.",Effects of Karenia brevis harmful algal blooms on nearshore fish communities in southwest Florida,Do not have yearly breakdown of species richness/diversity.
Jillian,Yes,No,396,,Jillian,ISI,"Hereu, Bernat; Zabala, Mikel; Sala, Enric",MULTIPLE CONTROLS OF COMMUNITY STRUCTURE AND DYNAMICS IN A SUBLITTORAL MARINE ENVIRONMENT,No real community surveyed (only manipulated treatments)
Jillian,Yes,No,402,,Jillian,ISI,"Tilot, V.; Leujak, W.; Ormond, R. F. G.; Ashworth, J. A.; Mabrouk, A.",Monitoring of South Sinai coral reefs: influence of natural and anthropogenic factors,Not a full year.
Jillian,,,405,,Jillian,ISI,"Wang, You-Shao; Lou, Zhi-Ping; Sun, Cui-Ci; Sun, Song","Ecological environment changes in Daya Bay, China, from 1982 to 2004",
Jillian,Yes,No,411,,Jillian,ISI,"Camatti, Elisa; Comaschi, Alessandra; de Olazabal, Alessandra; Umani, Serena Fonda","Annual dynamics of the mesozooplankton communities in a highly variable ecosystem (North Adriatic Sea, Italy)",Not a full year.
Jillian,Yes,No,419,,Jillian,ISI,"Beuchel, Frank; Gulliksen, Bjorn","Temporal patterns of benthic community development in an Arctic fjord (Kongsfjorden, Svalbard): results of a 24-year manipulation study","Very broad range of taxonomic groupings, several only to phyla level."
Jillian,Yes,Yes,420,,Jillian,ISI,"Hily, C.; Le Loc'h, F.; Grall, J.; Glemarec, M.",Soft bottom macrobenthic communities of North Biscay revisited: Long-term evolution under fisheries-climate forcing,
Jillian,,,431,,Marc,ISI,"Gabriel, Genzano; Mianzan, Hermes; Bouillon, Jean",Hydromedusae (Cnidaria : Hydrozoa) from the temperate southwestern Atlantic ocean: a review,
Jillian,Yes,No,434,,Marc,ISI,"Moellmann, Christian; Mueller-Karulis, Baerbel; Kornilovs, Georgs; St John, Michael A.","Effects of climate and overfishing on zooplankton dynamics and ecosystem structure: regime shifts, trophic cascade, and feedback coops in a simple ecosystem",Only 2 genuses were considered.
Jillian,Yes,Yes,435,,Marc,ISI,"Cabaitan, Patrick C.; Gomez, Edgardo D.; Alino, Porfirio M.",Effects of coral transplantation and giant clam restocking on the structure of fish communities on degraded patch reefs,
Jillian,Yes,No,436,,Marc,ISI,"Wieters, Evie A.; Gaines, Steven D.; Navarrete, Sergio A.; Blanchette, Carol A.; Menge, Bruce A.",Scales of dispersal and the biogeography of marine predator-prey interactions,Didn't measure richness.
Jillian,Yes,No,484,,Marc,ISI,"Santos, Miguel Neves; Monteiro, Carlos Costa",A fourteen-year overview of the fish assemblages and yield of the two oldest Algarve artificial reefs (southern Portugal),No yearly breakdown :(. The data could be out there somewhere.
Jillian,Yes,No,495,,Marc,ISI,"McClanahan, T. R.; Graham, N. A. J.; Maina, J.; Chabanet, P.; Bruggemann, J. H.; Polunin, N. V. C.",Influence of instantaneous variation on estimates of coral reef fish populations and communities,No raw data provided for yearly breakdown.
Jillian,Yes,No,500,,Marc,ISI,"Ramadan, Sh E.; Kheirallah, A. M.; Abdel-Salam, Kh M.","Marine fouling community in the Eastern harbour of Alexandria, Egypt compared with four decades of previous studies",Differences in sampling methods across years.
Jillian,Yes,No,502,,Marc,ISI,"Kraufvelin, Patrik; Moy, Frithjof E.; Christie, Hartvig; Bokn, Tor L.","Nutrient addition to experimental rocky shore communities revisited: Delayed responses, rapid recovery",Mesocosms - not natural habitat.
Jillian,Yes,No,507,,Marc,ISI,"Frank, Kenneth T.; Petrie, Brian; Shackell, Nancy L.; Choi, Jae S.",Reconciling differences in trophic control in mid-latitude marine ecosystems,No yearly breakdown of fish richness.
Aaron,Yes,Yes,519,,Marc,ISI,"Groger, J; Rumohr, H",Modelling and forecasting long-term dynamics of Western Baltic macrobenthic fauna in relation to climate signals and environmental change,
Aaron,Yes,No,529,,Marc,ISI,"Lopes, Ricardo J.; Pardal, Miguel A.; Murias, Tiago; Cabral, Joao A.; Marques, Joao C.",Influence of macroalgal mats on abundance and distribution of dunlin Calidris alpina in estuaries: a long-term approach,
Aaron,Yes,No,542,,Patrick,ISI,"Vivekanandan, E; Srinath, M; Kuriakose, S",Fishing the marine food web along the Indian coast,
Aaron,Yes,No,543,,Patrick,ISI,"Kubatova-Hirsova, H","Temporal patterns in shore fly (Diptera, Ephydridae) community structure in a salt marsh habitat",
Aaron,Yes,No,558,,Patrick,ISI,"Hereu, B; Zabala, M; Linares, C; Sala, E",Temporal and spatial variability in settlement of the sea urchin Paracentrotus lividus in the NW Mediterranean,
Aaron,Yes,No,563,,Patrick,ISI,"Dzikowski, R; Paperna, I; Diamant, A","Multi-annual changes in the parasite communities of rabbitfish Siganus rivulatus (Siganidae) in the Gulf of Aqaba, Red Sea",
Aaron,Yes,No,567,,Patrick,ISI,"Murray, JW",Patterns in the cumulative increase in species from foraminiferal time-series,
Aaron,Yes,Yes,576,,Patrick,ISI,"Pombo, L; Elliott, M; Rebelo, JE",Changes in the fish fauna of the Ria de Aveiro estuarine lagoon (Portugal) during the twentieth century,
Aaron,Yes,No,609,,Tenzing,ISI,"Litzow, MA; Piatt, JF; Abookire, AA; Prichard, AK; Robards, MD",Monitoring temporal and spatial variability in sandeel (Ammodytes hexapterus) abundance with pigeon guillemot (Cepphus columba) diets,
Aaron,Yes,No,611,,Tenzing,ISI,"Omena, EP; Amaral, ACZ","Population dynamics and secondary production of Laeonereis acuta (Treadwell,1923) (Nereididae : Polychaeta)",
Aaron,Yes,No,612,,Tenzing,ISI,"Currie, DR; McArthur, MA; Cohen, BF","Reproduction and distribution of the invasive European fanworm Sabella spallanzanii (Polychaeta : Sabellidae) in Port Phillip Bay, Victoria, Australia",
Aaron,Yes,No but close,617,,Tenzing,ISI,"Hambright, KD; Zohary, T",Phytoplankton species diversity control through competitive exclusion and physical disturbances,
Aaron,Yes,No,618,,Tenzing,ISI,"Larsen, JK; Guillemette, M",Influence of annual variation in food supply on abundance of wintering common elders Somateria mollissima,
Aaron,Yes,No,619,,Tenzing,ISI,"Butler, HG",Temporal plankton dynamics in a maritime Antarctic lake,
Aaron,Yes,No,631,,Tenzing,ISI,"Duarte, CM; Agusti, S; Kennedy, H; Vaque, D",The Mediterranean climate as a template for Mediterranean marine ecosystems: the example of the northeast Spanish littoral,
Aaron,Yes,No,644,,Jarrett,ISI,"Bonilla, HR; Duarte, FS; Covarrubias, OA","Gorgonians and stony corals (Anthozoa : Gorgonacea y scleractinia) from Cabo Pulmo, Mexico",
Aaron,Yes,No,648,,Tenzing,ISI,"Rogers, SI; Millner, RS",Factors affecting the annual abundance and regional distribution of English inshore demersal fish populations: 1973 to 1995,
Aaron,No,No,659,,Tenzing,ISI,"THEODOROU, AJ",THE ECOLOGICAL STATE OF THE ELEFSIS BAY PRIOR TO THE OPERATION OF THE ATHENS SEA OUTFALL,
Aaron,Yes,Yes,660,,Tenzing,ISI,"GIBSON, RN; ANSELL, AD; ROBB, L",SEASONAL AND ANNUAL VARIATIONS IN ABUNDANCE AND SPECIES COMPOSITION OF FISH AND MACROCRUSTACEAN COMMUNITIES ON A SCOTTISH SANDY BEACH,
Aaron,Yes,No,665,,Tenzing,ISI,"KRIEGER, KA; ROSS, LS",CHANGES IN THE BENTHIC MACROINVERTEBRATE COMMUNITY OF THE CLEVELAND HARBOR AREA OF LAKE ERIE FROM 1978 TO 1989,
Aaron,Yes,No,668,,Jarrett,ISI,"ZWARTS, L; BLOMERT, AM; WANINK, JH",ANNUAL AND SEASONAL-VARIATION IN THE FOOD-SUPPLY HARVESTABLE BY KNOT CALIDRIS-CANUTUS STAGING IN THE WADDEN SEA IN LATE SUMMER,
Aaron,Yes,Yes,672,,Jarrett,ISI,"SHAFFER, GP; SASSER, CE; GOSSELINK, JG; REJMANEK, M","VEGETATION DYNAMICS IN THE EMERGING ATCHAFALAYA DELTA, LOUISIANA, USA",
Aaron,No,Maybe,675,,Jarrett,ISI,"DUINEVELD, GCA; KUNITZER, A; NIERMANN, U; DEWILDE, PAWJ; GRAY, JS",THE MACROBENTHOS OF THE NORTH-SEA,
Aaron,Yes,No,676,,Jarrett,ISI,"BALLING, SS; RESH, VH","SEASONAL PATTERNS IN A SAN-FRANCISCO BAY, CALIFORNIA, SALT-MARSH ARTHROPOD COMMUNITY",
Aaron,No,Maybe,682,,Jarrett,ISI,"BEUKEMA, JJ",CHANGES IN COMPOSITION OF BOTTOM FAUNA OF A TIDAL-FLAT AREA DURING A PERIOD OF EUTROPHICATION,
Aaron,Yes,No,698,,Aaron,Aquatic Commons,CalFG,Pendleton Artificial Reef: annual progress report presented to Southern California Edison Company.,
Aaron,Yes,No,701,,Aaron,Aquatic Commons,Caveriviere,"La pÌÄåÄÌâå»che industrielle des poissons dÌÄåÄÌâå©mersaux en CÌÄåÄÌâå«te d'Ivoire. GÌÄåÄÌâå©nÌÄåÄÌâå©ralitÌÄåÄÌâå©s, localisation, homogÌÄåÄÌâå©neitÌÄåÄÌâå© relative des zones de pÌÄåÄÌâå»che ivoiriennes.",
Aaron,Yes,Yes,715,,Aaron,Aquatic Commons,"Hudson, J., Schittone, J., Anderson, J., Franklin, E. and Stratton, A.","M/V ELPIS Coral Reef Restoration Monitoring Report Monitoring Events 2004ÌÄåâÌâå_2007 Florida Keys National Marine Sanctuary, Monroe County, Florida.",
Aaron,Yes,Yes,719,,Aaron,Aquatic Commons,"Keller, A., Wallace, J., Horness,B., Hamel., Stewart, I.",Variations in eastern North Pacific demersal fish biomass based on the U.S. west coast groundfish bottom trawl survey (2003ÌÄå¢ÌâåÛÌâåÒ2010).,
Aaron,Yes,No,725,,Aaron,Aquatic Commons,"McKee-Lewis, K. and Read, R.",Southern California fisheries monitoring summary for 1993 and 1994.,
Aaron,Yes,No,734,,Aaron,Aquatic Commons,"Scott-Denton, E., Cryer, P., Duffy, M., Docke, J., Harrelson, M., Kinsella, D., Nance, J., Pulver, J., Smith, R., Williams, J.",Characterization of the U.S. Gulf of Mexico and South Atlantic penaeid and rock shrimp fisheries based on observer data.,
Aaron,Yes,No,737,,Aaron,Aquatic Commons,"Sund, P. and Renner, J.","The chaetognatha of the Eastropic Expedition, with notes as to their possible value as indicators of hydrographic conditions.",
Aaron,Yes,No,738,,Aaron,Aquatic Commons,"Thiriot, A.",Peuplements zooplanctoniques dans les rÌÄåÄÌâå©gions de remontÌÄåÄÌâå©es d'eau du littoral atlantique africain.,
Aaron,Yes,No,742,,Aaron,Aquatic Commons,"Witherell, D. and Woodby, D.",Application of Marine Protected Areas forÌÄå¢ÌâåÛÌâå¬Sustainable Production and Marine Biodiversity off Alaska.,
Aaron,Yes,Yes,744,Bates et al. 2013,Jarrett,,"Bates, Barrett, Stuart-Smith, Holbrook, Thompson, and Edgar",Resilience and signatures of tropicalization in protected reef fish communities,
Aaron,Yes,No,1,de Juan and Hewitt 2014,Alexa,ISI,"de Juan, S.; Hewitt, J.",Spatial and temporal variability in species richness in a temperate intertidal community,
Aaron,Yes,No,9,Nourisson et al. 2014,Alexa,ISI,"Nourisson, Delphine Helene; Bessa, Filipa; Scapini, Felicita; Marques, Joao Carlos",Macrofaunal community abundance and diversity and talitrid orientation as potential indicators of ecological long-term effects of a sand-dune recovery intervention,
Aaron,Yes,No,21,Tecchio et al. 2013,Alexa,ISI,"Tecchio, Samuele; Ramirez-Llodra, Eva; Aguzzi, Jacopo; Sanchez-Vidal, Anna; Mar Flexas, M.; Sarda, Francisco; Company, Joan B.",Seasonal fluctuations of deep megabenthos: Finding evidence of standing stock accumulation in a flux-rich continental slope,
Aaron,No,Maybe,22,Titlyanov et al. 2013,Alexa,ISI,"Titlyanov, E. A.; Titlyanova, T. V.","Changes in the Species Composition of Benthic Macroalgal Communities of the Upper Subtidal Zone on a Coral Reef in Sanya Bay (Hainan Island, China) During 2009-2012",
Aaron,Yes,No,61,Trefry et al. 2013,Alexa,ISI,"Trefry, John H.; Dunton, Kenneth H.; Trocine, Robert P.; Schonberg, Susan V.; McTigue, Nathan D.; Hersh, Eric S.; McDonald, Thomas J.",Chemical and biological assessment of two offshore drilling sites in the Alaskan Arctic,
Aaron,Yes,No,157,Wang et al. 2012,Alexa,ISI,"Wang, Yan-Guo; Lin, Jing-Hong; Wang, Chun-Guang; Lin, Mao",[Species composition and distribution characteristics of pelagic copepods in the Northern Sea of Fujian during withdraw of Zhe-Min coastal current].,
